PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanspectator,ap,atlantic,bbc,breitbart,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,guardian,huffingtonpost,infowars,intercept,jacobinmag,motherjones,nationalreview,nbc,npr,nypost,nytimes,pbs,pjmedia,rawstory,redstate,rt,slate,spectator,townhall,truthdig,usatoday,vice,vox,wapo,wsj,Unnamed: 0,COUNT,ON_TOPIC,UNIQUE,SPECIFIC,bias_score,calculated_bias
A federal,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,434,0,0.0,0.0,,Neutral
ADVERTISEMENT The,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,145,0,0.0,0.0,,Neutral
Affordable Care Act,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531,250,0,0.0,0.0,,Neutral
Aid Access,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,219,0,0.0,0.0,,Neutral
Amy Coney Barrett,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,63,1,1.0,0.0,,Neutral
Attorney General,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,532,0,0.0,0.0,,Neutral
Biden administration,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568,16,0,0.0,0.0,,Neutral
Biden has,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701,161,0,0.0,0.0,,Neutral
Biden will,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885,29,0,0.0,0.0,,Neutral
Born Alive,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,407,1,1.0,0.0,,Neutral
Buenos Aires,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,50,0,0.0,0.0,,Neutral
Catholic Church,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,242,1,1.0,0.0,,Neutral
Catholic country,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,43,0,0.0,0.0,,Neutral
Center for Reproductive,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,711,1,1.0,0.0,,Neutral
Chief Justice,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,616,1,1.0,0.0,,Neutral
Chief Justice Roberts,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,118,0,0.0,0.0,,Neutral
Church has,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895,27,0,0.0,0.0,,Neutral
Constitutional Court,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,35,1,1.0,0.0,,Neutral
Democratic Party,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,455,0,0.0,0.0,,Neutral
Democratic presidential,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533,509,0,0.0,0.0,,Neutral
Donald Trump,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,1085,0,0.0,0.0,,Neutral
Editing by,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,45,0,0.0,0.0,,Neutral
Holy Communion,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,91,1,1.0,0.0,,Neutral
I am,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,888,0,0.0,0.0,,Neutral
I dont,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855,1038,0,0.0,0.0,,Neutral
I think,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769,1632,0,0.0,0.0,,Neutral
I was,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718,1241,0,0.0,0.0,,Neutral
If you,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961,597,0,0.0,0.0,,Neutral
In the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927,1626,0,0.0,0.0,,Neutral
In this,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893,193,0,0.0,0.0,,Neutral
It is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,1436,0,0.0,0.0,,Neutral
Jane Roe,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,175,1,1.0,0.0,,Neutral
Joe Biden,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,582,1,1.0,0.0,,Neutral
Judge Barrett,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,17,0,0.0,0.0,,Neutral
Justice Kavanaugh,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,129,0,0.0,0.0,,Neutral
Latin America,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,130,0,0.0,0.0,,Neutral
Law and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725,69,0,0.0,0.0,,Neutral
Law and Justice,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,44,0,0.0,0.0,,Neutral
Little Sisters of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809,92,0,0.0,0.0,,Neutral
Long Bailey,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519,35,0,0.0,0.0,,Neutral
March for Life,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,678,1,1.0,0.0,,Neutral
Margaret Sanger,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633,145,0,0.0,0.0,,Neutral
Medicare for All,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,127,1,1.0,0.0,,Neutral
Mexico City,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,263,0,0.0,0.0,,Neutral
Mr Trump,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,157,0,0.0,0.0,,Neutral
New York,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,2387,0,0.0,0.0,,Neutral
Northern Ireland,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,490,0,0.0,0.0,,Neutral
Planned Parenthood,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,8725,1,1.0,0.0,,Neutral
Planned Parenthoods,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,804,1,0.0,0.0,,Neutral
Pope Francis,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,113,1,1.0,0.0,,Neutral
President Donald Trump,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,529,0,0.0,0.0,,Neutral
Protection Act,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569,612,0,0.0,0.0,,Neutral
READ MORE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697,60,0,0.0,0.0,,Neutral
Read more,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684,358,0,0.0,0.0,,Neutral
Reporting by,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694,44,0,0.0,0.0,,Neutral
Rhode Island,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,207,1,1.0,0.0,,Neutral
Right to Life,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,463,1,1.0,0.0,,Neutral
Roe v Wade,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,5068,1,1.0,0.0,,Neutral
Roman Catholic,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,136,1,1.0,0.0,,Neutral
Sisters of the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813,91,0,0.0,0.0,,Neutral
South Bend,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,328,1,1.0,0.0,,Neutral
States Supreme Court,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,756,0,0.0,0.0,,Neutral
Supreme Court,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,8437,1,1.0,0.0,,Neutral
Susan Collins,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,257,0,0.0,0.0,,Neutral
Thank you,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973,255,0,0.0,0.0,,Neutral
That is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997,356,0,0.0,0.0,,Neutral
The Daily Caller,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644,627,0,0.0,0.0,,Neutral
The infant would,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806,422,0,0.0,0.0,,Neutral
This article is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,134,0,0.0,0.0,,Neutral
This is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872,2031,0,0.0,0.0,,Neutral
Title X,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,1805,1,1.0,0.0,,Neutral
Twitter and Facebook,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,85,0,0.0,0.0,,Neutral
US Supreme Court,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,159,0,0.0,0.0,,Neutral
United States,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,5051,1,1.0,0.0,,Neutral
United States Supreme,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,822,0,0.0,0.0,,Neutral
Whole Womans Health,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,771,1,1.0,0.0,,Neutral
a a,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857,78,0,0.0,0.0,,Neutral
a baby,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,941,1,0.0,0.0,,Neutral
a fetal heartbeat,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,701,1,0.0,0.0,,Neutral
a friend,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,107,0,0.0,0.0,,Neutral
a large,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,632,0,0.0,0.0,,Neutral
a law,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,1093,0,0.0,0.0,,Neutral
a lot of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881,859,0,0.0,0.0,,Neutral
a near total,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659,222,0,0.0,0.0,,Neutral
a new,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,1124,0,0.0,0.0,,Neutral
a pregnancy,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777,1290,0,0.0,0.0,,Neutral
a protest,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713,82,0,0.0,0.0,,Neutral
a protest against,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879,24,0,0.0,0.0,,Neutral
a threat to,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834,121,0,0.0,0.0,,Neutral
a tip,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945,118,0,0.0,0.0,,Neutral
a woman,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932,2208,0,0.0,0.0,,Neutral
a womans,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748,1709,0,0.0,0.0,,Neutral
a womans right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,776,1,0.0,0.0,,Neutral
a year,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933,851,0,0.0,0.0,,Neutral
able to,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924,1768,0,0.0,0.0,,Neutral
abnormalities,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,196,1,0.0,0.0,,Neutral
aborted,641.0,1.0,3.0,1.0,6.0,4.0,3.0,0.0,36.0,4.0,1.0,10.0,8.0,1.0,3.0,95.0,16.0,5.0,15.0,5.0,65.0,44.0,10.0,0.0,22.0,2.0,0.0,9.0,58.0,9.0,6.0,13.0,14.0,0.0,42.0,15.0,50.0,4.0,5.0,7.0,2.0,1.0,20.0,1.0,7.0,18.0,0.0,29,641,1,1.0,1.0,343.0,Right
abortion,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,68190,1,0.0,0.0,,Neutral
abortion access,1519.0,9.0,20.0,2.0,0.0,9.0,7.0,1.0,20.0,43.0,173.0,126.0,63.0,11.0,1.0,171.0,54.0,1.0,1.0,9.0,15.0,72.0,43.0,16.0,2.0,20.0,26.0,38.0,38.0,57.0,27.0,12.0,38.0,5.0,10.0,34.0,6.0,0.0,34.0,3.0,2.0,7.0,45.0,51.0,123.0,73.0,1.0,15,1519,1,1.0,1.0,-390.0,Left
abortion ban,1133.0,22.0,6.0,2.0,0.0,2.0,2.0,0.0,9.0,18.0,108.0,49.0,71.0,5.0,0.0,55.0,37.0,5.0,0.0,0.0,2.0,38.0,58.0,10.0,7.0,6.0,3.0,23.0,44.0,60.0,35.0,13.0,23.0,2.0,12.0,34.0,22.0,12.0,22.0,1.0,0.0,12.0,139.0,33.0,68.0,63.0,0.0,16,1133,1,1.0,1.0,-280.0,Left
abortion care,1215.0,7.0,13.0,0.0,1.0,2.0,2.0,1.0,25.0,33.0,40.0,73.0,218.0,14.0,0.0,61.0,70.0,4.0,3.0,5.0,3.0,21.0,43.0,19.0,2.0,30.0,24.0,41.0,19.0,55.0,28.0,7.0,19.0,0.0,5.0,31.0,8.0,0.0,27.0,1.0,0.0,7.0,52.0,60.0,76.0,64.0,1.0,4,1215,1,1.0,1.0,-611.0,Left
abortion clinic,1326.0,13.0,5.0,1.0,2.0,9.0,0.0,1.0,31.0,31.0,74.0,34.0,29.0,2.0,2.0,156.0,32.0,20.0,2.0,11.0,17.0,80.0,52.0,10.0,5.0,8.0,5.0,30.0,65.0,63.0,21.0,28.0,41.0,1.0,57.0,39.0,25.0,1.0,10.0,5.0,3.0,10.0,92.0,65.0,62.0,70.0,6.0,35,1326,1,1.0,1.0,-17.0,Left
abortion clinics,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,1352,1,0.0,0.0,,Neutral
abortion in,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,2360,1,0.0,0.0,,Neutral
abortion industry,390.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,51.0,2.0,0.0,5.0,1.0,0.0,0.0,62.0,0.0,3.0,3.0,0.0,49.0,46.0,2.0,1.0,8.0,1.0,0.0,0.0,31.0,18.0,7.0,3.0,0.0,0.0,12.0,7.0,32.0,0.0,1.0,4.0,2.0,2.0,12.0,1.0,6.0,12.0,0.0,47,390,1,1.0,1.0,262.0,Right
abortion is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,2668,1,0.0,0.0,,Neutral
abortion law,937.0,13.0,16.0,3.0,1.0,0.0,8.0,4.0,29.0,23.0,34.0,59.0,13.0,10.0,3.0,58.0,25.0,10.0,2.0,2.0,15.0,47.0,56.0,8.0,9.0,1.0,4.0,11.0,24.0,40.0,35.0,32.0,30.0,9.0,19.0,38.0,19.0,13.0,15.0,6.0,0.0,0.0,65.0,5.0,56.0,57.0,4.0,20,937,1,1.0,1.0,-110.0,Left
abortion law in,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,158,1,1.0,0.0,,Neutral
abortion laws,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,1131,1,0.0,0.0,,Neutral
abortion pills,364.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,6.0,8.0,10.0,17.0,0.0,19.0,0.0,34.0,9.0,8.0,0.0,4.0,11.0,7.0,67.0,4.0,2.0,0.0,4.0,8.0,12.0,10.0,19.0,4.0,2.0,0.0,3.0,2.0,5.0,1.0,1.0,1.0,0.0,1.0,19.0,41.0,15.0,3.0,0.0,40,364,1,1.0,1.0,-90.0,Left
abortion providers,1775.0,11.0,22.0,2.0,1.0,6.0,8.0,2.0,40.0,18.0,109.0,83.0,58.0,6.0,3.0,125.0,55.0,19.0,4.0,15.0,32.0,83.0,48.0,31.0,9.0,38.0,9.0,55.0,96.0,73.0,89.0,19.0,38.0,2.0,23.0,53.0,31.0,3.0,52.0,1.0,4.0,10.0,66.0,63.0,125.0,132.0,3.0,31,1775,1,1.0,1.0,-351.0,Left
abortion restrictions,991.0,25.0,12.0,3.0,0.0,6.0,5.0,6.0,12.0,12.0,43.0,30.0,21.0,6.0,1.0,57.0,20.0,8.0,1.0,3.0,16.0,41.0,29.0,17.0,3.0,16.0,6.0,37.0,54.0,57.0,33.0,17.0,33.0,2.0,11.0,21.0,5.0,0.0,20.0,2.0,0.0,5.0,59.0,37.0,101.0,89.0,8.0,39,991,1,1.0,1.0,-253.0,Left
abortion rights,4851.0,97.0,42.0,15.0,5.0,43.0,63.0,10.0,54.0,151.0,282.0,341.0,98.0,11.0,11.0,63.0,84.0,28.0,12.0,28.0,17.0,113.0,179.0,61.0,4.0,23.0,51.0,95.0,248.0,236.0,373.0,76.0,216.0,11.0,17.0,140.0,51.0,3.0,71.0,4.0,0.0,32.0,211.0,103.0,461.0,585.0,24.0,1,4851,1,1.0,1.0,-1995.0,Left
abortion rules,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,24,1,1.0,1.0,1.0,Right
abortion services,955.0,16.0,7.0,0.0,0.0,7.0,1.0,7.0,23.0,22.0,140.0,64.0,29.0,19.0,3.0,36.0,25.0,3.0,7.0,6.0,5.0,25.0,87.0,11.0,4.0,14.0,11.0,16.0,15.0,77.0,50.0,11.0,17.0,0.0,7.0,19.0,13.0,0.0,2.0,0.0,0.0,3.0,37.0,33.0,15.0,68.0,0.0,25,955,1,1.0,1.0,-269.0,Left
abortionists,310.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,25.0,6.0,0.0,2.0,5.0,0.0,5.0,32.0,0.0,3.0,1.0,8.0,45.0,11.0,5.0,0.0,14.0,3.0,0.0,0.0,43.0,3.0,1.0,3.0,2.0,0.0,39.0,2.0,22.0,0.0,1.0,1.0,2.0,5.0,7.0,1.0,0.0,9.0,0.0,42,310,1,1.0,1.0,190.0,Right
abortions,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,16029,1,0.0,0.0,,Neutral
abortions after,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985,839,0,0.0,0.0,,Neutral
abortions in,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,1370,1,0.0,0.0,,Neutral
about the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944,2422,0,0.0,0.0,,Neutral
