PHRASE,TOTAL,aljazeera,alternet,ap,atlantic,breitbart,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,fox,guardian,huffingtonpost,intercept,motherjones,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,usatoday,vox,wapo,wsj,Unnamed: 0,COUNT,ON_TOPIC,UNIQUE,SPECIFIC,bias_score,calculated_bias
ADVERTISEMENT The,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631,39,0,0.0,0.0,,Neutral
Alaska Native,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,142,0,0.0,0.0,,Neutral
American Indian,497.0,4.0,5.0,8.0,6.0,22.0,1.0,7.0,5.0,8.0,24.0,20.0,25.0,67.0,1.0,5.0,9.0,7.0,20.0,9.0,7.0,6.0,26.0,22.0,8.0,10.0,4.0,15.0,18.0,34.0,19.0,72.0,3.0,22,497,1,1.0,1.0,-102.0,Left
American Indian on,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940,9,0,0.0,0.0,,Neutral
American Indians,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,343,1,0.0,0.0,,Neutral
American and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844,55,0,0.0,0.0,,Neutral
American woman in,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899,8,0,0.0,0.0,,Neutral
And so,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643,93,0,0.0,0.0,,Neutral
Around the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595,17,0,0.0,0.0,,Neutral
Bears Ears,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,193,1,1.0,0.0,,Neutral
CARES Act,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,72,0,0.0,0.0,,Neutral
Centers for Disease,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,22,0,0.0,0.0,,Neutral
Cherokee Nation,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,248,1,1.0,0.0,,Neutral
Cheyenne River Sioux,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,109,0,0.0,0.0,,Neutral
Child Welfare Act,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,46,0,0.0,0.0,,Neutral
Columbus Day,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547,67,0,0.0,0.0,,Neutral
Control and Prevention,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706,17,0,0.0,0.0,,Neutral
Creek Nation,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,137,0,0.0,0.0,,Neutral
Creek Nations,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,18,0,0.0,0.0,,Neutral
Creek Reservation,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514,8,0,0.0,0.0,,Neutral
Creek reservation,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,15,0,0.0,0.0,,Neutral
DNA test,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,177,1,1.0,0.0,,Neutral
DNA tests,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,41,1,0.0,0.0,,Neutral
Dakota Access,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,149,1,1.0,0.0,,Neutral
Dakota Access pipeline,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,44,1,0.0,0.0,,Neutral
Department of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893,194,0,0.0,0.0,,Neutral
Disease Control and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,20,0,0.0,0.0,,Neutral
Eastern Oklahoma,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,16,0,0.0,0.0,,Neutral
Elizabeth Warren,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,208,1,1.0,0.0,,Neutral
Elizabeth Warrens,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,16,0,0.0,0.0,,Neutral
Environmental Impact Statement,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,18,0,0.0,0.0,,Neutral
For most,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861,11,0,0.0,0.0,,Neutral
Honor the Earth,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697,21,0,0.0,0.0,,Neutral
I mean,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877,73,0,0.0,0.0,,Neutral
I think,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648,264,0,0.0,0.0,,Neutral
I was,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,221,0,0.0,0.0,,Neutral
In fact,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694,45,0,0.0,0.0,,Neutral
In fact the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902,8,0,0.0,0.0,,Neutral
In many,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783,13,0,0.0,0.0,,Neutral
In the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,486,0,0.0,0.0,,Neutral
In the early,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591,18,0,0.0,0.0,,Neutral
Indian Child Welfare,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538,51,0,0.0,0.0,,Neutral
Indian Country,331.0,1.0,7.0,10.0,0.0,8.0,0.0,1.0,4.0,17.0,6.0,17.0,0.0,21.0,1.0,1.0,1.0,2.0,8.0,5.0,4.0,19.0,24.0,23.0,6.0,7.0,0.0,10.0,0.0,53.0,40.0,35.0,0.0,4,331,1,1.0,1.0,-149.0,Left
Indian Health,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,194,1,1.0,0.0,,Neutral
Indian Health Service,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537,116,0,0.0,0.0,,Neutral
Indian country,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546,118,0,0.0,0.0,,Neutral
Indian is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,26,0,0.0,0.0,,Neutral
Indian reservation,53.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,4.0,7.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,5,53,1,1.0,1.0,-2.0,Left
Indian tribe,32.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,6.0,1.0,27,32,1,1.0,1.0,-3.0,Left
Indians a,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816,15,0,0.0,0.0,,Neutral
Indians and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889,143,0,0.0,0.0,,Neutral
Indigenous Peoples,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544,128,0,0.0,0.0,,Neutral
Indigenous people,209.0,19.0,14.0,0.0,1.0,6.0,0.0,1.0,8.0,16.0,34.0,7.0,0.0,7.0,0.0,0.0,3.0,0.0,22.0,0.0,21.0,8.0,4.0,3.0,0.0,3.0,0.0,15.0,2.0,7.0,6.0,2.0,0.0,6,209,1,1.0,1.0,-98.0,Left
Indigenous peoples,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545,92,0,0.0,0.0,,Neutral
It is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977,272,0,0.0,0.0,,Neutral
Junipero Serra,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,32,1,1.0,0.0,,Neutral
Justice Department,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,41,1,1.0,0.0,,Neutral
Justice Neil Gorsuch,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,35,0,0.0,0.0,,Neutral
Keystone XL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541,93,0,0.0,0.0,,Neutral
Mardi Gras,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,22,0,0.0,0.0,,Neutral
Mount Rushmore,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,177,1,1.0,0.0,,Neutral
Muscogee Creek,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,91,1,1.0,0.0,,Neutral
Muscogee Creek Nation,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,60,0,0.0,0.0,,Neutral
Nation a,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,18,0,0.0,0.0,,Neutral
Nations reservation,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427,8,0,0.0,0.0,,Neutral
Native American,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,2140,1,1.0,0.0,,Neutral
Native American and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,31,0,0.0,0.0,,Neutral
Native American communities,86.0,1.0,3.0,2.0,0.0,1.0,1.0,6.0,4.0,4.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,5.0,3.0,1.0,2.0,0.0,8.0,0.0,10.0,5.0,9.0,1.0,25,86,1,1.0,1.0,-39.0,Left
Native American rights,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,28,15,1,1.0,1.0,-2.0,Left
Native American students,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,31,1,0.0,0.0,,Neutral
Native American tribe,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,61,0,0.0,0.0,,Neutral
Native American tribes,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,131,0,0.0,0.0,,Neutral
Native American woman,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,26,1,0.0,0.0,,Neutral
Native American women,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,95,1,0.0,0.0,,Neutral
Native Americans,1250.0,27.0,15.0,28.0,9.0,20.0,10.0,3.0,60.0,53.0,46.0,8.0,14.0,44.0,12.0,17.0,23.0,25.0,91.0,24.0,11.0,23.0,83.0,78.0,39.0,34.0,23.0,64.0,23.0,85.0,58.0,200.0,0.0,23,1250,1,1.0,1.0,-478.0,Left
Native children,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383,69,0,0.0,0.0,,Neutral
Native people,314.0,4.0,5.0,3.0,11.0,6.0,0.0,2.0,3.0,25.0,8.0,12.0,0.0,26.0,2.0,0.0,2.0,2.0,22.0,25.0,22.0,5.0,35.0,6.0,6.0,10.0,5.0,8.0,4.0,4.0,24.0,27.0,0.0,11,314,1,1.0,1.0,-169.0,Left
Navajo Nation,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,558,1,1.0,0.0,,Neutral
New Mexico,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,269,0,0.0,0.0,,Neutral
New Zealand,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,30,0,0.0,0.0,,Neutral
Ninth century,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,71,0,0.0,0.0,,Neutral
North Dakota,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,335,1,1.0,0.0,,Neutral
Ojibwe tribe,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526,6,0,0.0,0.0,,Neutral
Oklahoma and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733,42,0,0.0,0.0,,Neutral
Oklahoma and the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868,12,0,0.0,0.0,,Neutral
Oklahoma in,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608,10,0,0.0,0.0,,Neutral
Oklahoma including,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968,7,0,0.0,0.0,,Neutral
Oklahoma state,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,13,1,1.0,0.0,,Neutral
Oklahoma was,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769,17,0,0.0,0.0,,Neutral
Read more,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865,65,0,0.0,0.0,,Neutral
Red Cloud,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,44,1,1.0,0.0,,Neutral
River Sioux Tribe,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,70,0,0.0,0.0,,Neutral
Rock Sioux Tribe,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,54,0,0.0,0.0,,Neutral
Sen Elizabeth Warren,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,80,0,0.0,0.0,,Neutral
Sioux Tribe,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,201,1,1.0,0.0,,Neutral
Sitting Bull,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33,31,1,1.0,1.0,10.0,Right
South Dakota,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,355,1,1.0,0.0,,Neutral
Standing Rock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,313,1,1.0,0.0,,Neutral
Standing Rock Sioux,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,104,0,0.0,0.0,,Neutral
States Supreme Court,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,39,0,0.0,0.0,,Neutral
Supreme Court,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,282,1,1.0,0.0,,Neutral
Supreme Court ruling,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,20,0,0.0,0.0,,Neutral
The Daily,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609,30,0,0.0,0.0,,Neutral
The Supreme Court,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759,36,0,0.0,0.0,,Neutral
The case,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801,37,0,0.0,0.0,,Neutral
The court,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740,24,0,0.0,0.0,,Neutral
The federal,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722,50,0,0.0,0.0,,Neutral
The history of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795,14,0,0.0,0.0,,Neutral
The latest,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886,12,0,0.0,0.0,,Neutral
The new,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,35,0,0.0,0.0,,Neutral
The tribe,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664,159,0,0.0,0.0,,Neutral
They were,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574,74,0,0.0,0.0,,Neutral
Thursday that,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754,19,0,0.0,0.0,,Neutral
Tulsa is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996,5,0,0.0,0.0,,Neutral
Turtle Mountain,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,62,0,0.0,0.0,,Neutral
United States,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,1557,1,1.0,0.0,,Neutral
United States Supreme,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,43,0,0.0,0.0,,Neutral
United States and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757,78,0,0.0,0.0,,Neutral
Warren is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,58,0,0.0,0.0,,Neutral
We are,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883,184,0,0.0,0.0,,Neutral
White Earth,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,25,0,0.0,0.0,,Neutral
Winona LaDuke,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,6,0,0.0,0.0,,Neutral
a Native American,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,195,0,0.0,0.0,,Neutral
a Supreme Court,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859,23,0,0.0,0.0,,Neutral
a casino,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891,58,0,0.0,0.0,,Neutral
a city,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827,13,0,0.0,0.0,,Neutral
a cultural,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589,29,0,0.0,0.0,,Neutral
a fellow,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813,16,0,0.0,0.0,,Neutral
a government,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741,35,0,0.0,0.0,,Neutral
a group of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582,90,0,0.0,0.0,,Neutral
a landmark,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755,13,0,0.0,0.0,,Neutral
a large,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702,81,0,0.0,0.0,,Neutral
a lot of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913,243,0,0.0,0.0,,Neutral
a public,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652,58,0,0.0,0.0,,Neutral
a remote,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692,39,0,0.0,0.0,,Neutral
a reservation,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770,119,0,0.0,0.0,,Neutral
a reservation for,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919,9,0,0.0,0.0,,Neutral
a set of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,10,0,0.0,0.0,,Neutral
a sign,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747,15,0,0.0,0.0,,Neutral
a sign of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898,8,0,0.0,0.0,,Neutral
a similar,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,48,0,0.0,0.0,,Neutral
a source of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593,18,0,0.0,0.0,,Neutral
a statement,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797,251,0,0.0,0.0,,Neutral
a term,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962,6,0,0.0,0.0,,Neutral
a tribe,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,111,0,0.0,0.0,,Neutral
a tribe member,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904,8,0,0.0,0.0,,Neutral
a white,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581,75,0,0.0,0.0,,Neutral
a white man,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876,11,0,0.0,0.0,,Neutral
able to,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985,276,0,0.0,0.0,,Neutral
abolished,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,11,0,0.0,0.0,,Neutral
about in,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674,19,0,0.0,0.0,,Neutral
about the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711,519,0,0.0,0.0,,Neutral
abundance,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483,7,0,0.0,0.0,,Neutral
according to,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596,576,0,0.0,0.0,,Neutral
according to the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,203,0,0.0,0.0,,Neutral
across,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,607,0,0.0,0.0,,Neutral
actually,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528,201,0,0.0,0.0,,Neutral
added,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,245,0,0.0,0.0,,Neutral
address,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,234,0,0.0,0.0,,Neutral
addresses,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481,72,0,0.0,0.0,,Neutral
administration,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,335,0,0.0,0.0,,Neutral
admitted,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,28,0,0.0,0.0,,Neutral
admitted to,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867,12,0,0.0,0.0,,Neutral
adopted,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,78,0,0.0,0.0,,Neutral
advantage,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,34,0,0.0,0.0,,Neutral
agencies,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,125,0,0.0,0.0,,Neutral
agencies that,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815,10,0,0.0,0.0,,Neutral
all Native,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,39,0,0.0,0.0,,Neutral
all Native American,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809,13,0,0.0,0.0,,Neutral
allotment,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503,35,0,0.0,0.0,,Neutral
already,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513,375,0,0.0,0.0,,Neutral
also the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573,41,0,0.0,0.0,,Neutral
among them,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724,23,0,0.0,0.0,,Neutral
an American,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839,73,0,0.0,0.0,,Neutral
an American Indian,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789,37,0,0.0,0.0,,Neutral
an Indian,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667,136,0,0.0,0.0,,Neutral
an Indian reservation,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,29,0,0.0,0.0,,Neutral
an oil,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698,21,0,0.0,0.0,,Neutral
an oil pipeline,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954,6,0,0.0,0.0,,Neutral
ancestors,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477,274,0,0.0,0.0,,Neutral
ancestry,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,223,1,1.0,0.0,,Neutral
ancient,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,142,0,0.0,0.0,,Neutral
and a,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922,533,0,0.0,0.0,,Neutral
